match_id,date,home_team,away_team,home_score,away_score,actual_result,pred_result,p_home_win,p_draw,p_away_win,p_actual,log_loss,brier,correct,bookmaker,real_odds,edge,kelly_stake,bet_return,bankroll
30,2026-06-19,Scotland,Morocco,0,1,away_win,away_win,0.17211312977744367,0.2697247863971802,0.5581620838253761,0.5581620838253761,0.5831058859745502,0.2975951340083256,TRUE,Pinnacle,1.76,-0.0100197343564421,0,0,1028.2501190095786
31,2026-06-19,United States,Australia,2,0,home_win,home_win,0.58014017896546,0.2566288628258106,0.1632309582087294,0.58014017896546,0.5444855167719979,0.2687849882721647,TRUE,Pinnacle,1.61,-0.0409778334569002,0,0,1028.2501190095786
32,2026-06-19,Turkey,Paraguay,0,1,away_win,home_win,0.43967442116460886,0.276103087400896,0.284222491434495,0.284222491434495,1.2579979269906287,0.7818839532669821,FALSE,Pinnacle,2.06,-0.04576247203927464,0,0,1028.2501190095786
33,2026-06-20,Germany,Ivory Coast,2,1,home_win,home_win,0.5752829960796079,0.25455816272575293,0.17015884119463925,0.5752829960796079,0.5528931921643168,0.2741384228661278,TRUE,Pinnacle,1.53,-0.07831177516222221,0,0,1028.2501190095786
34,2026-06-20,Ecuador,Curaçao,0,0,draw,home_win,0.813109781390226,0.13808151916700104,0.04880869944277273,0.13808151916700104,1.9799110496290289,1.406433273335221,FALSE,NA,NA,NA,0,0,1028.2501190095786
35,2026-06-20,Netherlands,Sweden,5,1,home_win,home_win,0.5930776139455035,0.24263183052009524,0.1642905555344012,0.5930776139455035,0.52243000499832,0.2514474200916191,TRUE,Pinnacle,1.61,-0.028040398476856687,0,0,1028.2501190095786
36,2026-06-20,Tunisia,Japan,0,4,away_win,away_win,0.11255306530063393,0.1879116779325476,0.6995352567668185,0.6995352567668185,0.3573390833350311,0.13825805313817596,TRUE,Pinnacle,1.62,0.08225130614953458,55.24651727655745,34.25284071146562,1062.5029597210441
37,2026-06-21,Belgium,Iran,0,0,draw,home_win,0.5445206641957615,0.2841181871949707,0.17136114860926782,0.2841181871949707,1.258364975293231,0.8383541668938959,FALSE,Pinnacle,1.36,-0.19077345345129726,0,0,1062.5029597210441
38,2026-06-21,New Zealand,Egypt,1,3,away_win,away_win,0.17543012868586788,0.29535998648544676,0.5292098848286854,0.5292098848286854,0.6363701681011851,0.3396565842104432,TRUE,Pinnacle,1.72,-0.052185464008523974,0,0,1062.5029597210441
39,2026-06-21,Spain,Saudi Arabia,4,0,home_win,home_win,0.837672339559186,0.1203185454479266,0.04200911499288748,0.837672339559186,0.17712825787429057,0.042591587465378646,TRUE,Pinnacle,1.09,-0.07975885310136444,0,0,1062.5029597210441
40,2026-06-21,Uruguay,Cape Verde,2,2,draw,home_win,0.7388288632512638,0.18554317520148297,0.07562796154725328,0.18554317520148297,1.6844676736045152,1.2149275972018296,FALSE,Pinnacle,1.4,0.024543148965549544,0,0,1062.5029597210441
